,Kernel,Gamma,Cost,Accuracy,,,,,,,,,,,,,,,,,,
81,Linear,0.125,2048,45.03311258,,,,,,,,,,,,,,,,,,
82,Linear,0.125,8192,44.37086093,,,,,,,,,,,,,,,,,,
83,Linear,0.125,32768,49.00662252,,,,,,,,,,,,,,,,,,
84,Linear,0.5,0.03125,48.34437086,,,,,,,,,,,,,,,,,,
85,Linear,0.5,0.125,47.01986755,,,,,,,,,,,,,,,,,,
86,Linear,0.5,0.5,50.33112583,,,,,,,,,,,,,,,,,,
87,Linear,0.5,1,47.01986755,,,,,,,,,,,,,,,,,,
88,Linear,0.5,2,47.01986755,,,,,,,,,,,,,,,,,,
89,Linear,0.5,8,46.35761589,,,,,,,,,,,,,,,,,,
90,Linear,0.5,32,49.00662252,,,,,,,,,,,,,,,,,,
91,Linear,0.5,128,49.00662252,,,,,,,,,,,,,,,,,,
92,Linear,0.5,512,51.65562914,,,,,,,,,,,,,,,,,,
93,Linear,0.5,2048,46.35761589,,,,,,,,,,,,,,,,,,
94,Linear,0.5,8192,47.01986755,,,,,,,,,,,,,,,,,,
95,Linear,0.5,32768,45.03311258,,,,,,,,,,,,,,,,,,
96,Linear,1,0.03125,49.00662252,,,,,,,,,,,,,,,,,,
97,Linear,1,0.125,47.68211921,,,,,,,,,,,,,,,,,,
98,Linear,1,0.5,47.01986755,,,,,,,,,,,,,,,,,,
99,Linear,1,1,46.35761589,,,,,,,,,,,,,,,,,,
100,Linear,1,2,49.00662252,,,,,,,,,,,,,,,,,,
101,Linear,1,8,49.66887417,,,,,,,,,,,,,,,,,,
102,Linear,1,32,47.01986755,,,,,,,,,,,,,,,,,,
103,Linear,1,128,48.34437086,,,,,,,,,,,,,,,,,,
104,Linear,1,512,45.69536424,,,,,,,,,,,,,,,,,,
105,Linear,1,2048,45.03311258,,,,,,,,,,,,,,,,,,
106,Linear,1,8192,49.00662252,,,,,,,,,,,,,,,,,,
107,Linear,1,32768,49.66887417,,,,,,,,,,,,,,,,,,
108,Linear,2,0.03125,45.03311258,,,,,,,,,,,,,,,,,,
109,Linear,2,0.125,49.00662252,,,,,,,,,,,,,,,,,,
110,Linear,2,0.5,52.98013245,,,,,,,,,,,,,,,,,,
111,Linear,2,1,49.00662252,,,,,,,,,,,,,,,,,,
112,Linear,2,2,47.01986755,,,,,,,,,,,,,,,,,,
113,Linear,2,8,49.00662252,,,,,,,,,,,,,,,,,,
114,Linear,2,32,43.70860927,,,,,,,,,,,,,,,,,,
115,Linear,2,128,45.69536424,,,,,,,,,,,,,,,,,,
116,Linear,2,512,48.34437086,,,,,,,,,,,,,,,,,,
117,Linear,2,2048,45.03311258,,,,,,,,,,,,,,,,,,
118,Linear,2,8192,49.66887417,,,,,,,,,,,,,,,,,,
119,Linear,2,32768,47.01986755,,,,,,,,,,,,,,,,,,
120,Linear,8,0.03125,47.68211921,,,,,,,,,,,,,,,,,,
121,Linear,8,0.125,46.35761589,,,,,,,,,,,,,,,,,,
122,Linear,8,0.5,47.01986755,,,,,,,,,,,,,,,,,,
123,Linear,8,1,47.01986755,,,,,,,,,,,,,,,,,,
124,Linear,8,2,48.34437086,,,,,,,,,,,,,,,,,,
125,Linear,8,8,47.68211921,,,,,,,,,,,,,,,,,,
126,Linear,8,32,47.68211921,,,,,,,,,,,,,,,,,,
127,Linear,8,128,49.66887417,,,,,,,,,,,,,,,,,,
128,Linear,8,512,51.65562914,,,,,,,,,,,,,,,,,,
129,Linear,8,2048,50.33112583,,,,,,,,,,,,,,,,,,
130,Linear,8,8192,50.33112583,,,,,,,,,,,,,,,,,,
131,Linear,8,32768,48.34437086,,,,,,,,,,,,,,,,,,
132,Polynomial,3.05E-05,0.03125,37.74834437,,,,,,,,,,,,,,,,,,
133,Polynomial,3.05E-05,0.125,37.08609272,,,,,,,,,,,,,,,,,,
134,Polynomial,3.05E-05,0.5,33.77483444,,,,,,,,,,,,,,,,,,
135,Polynomial,3.05E-05,1,38.41059603,,,,,,,,,,,,,,,,,,
136,Polynomial,3.05E-05,2,38.41059603,,,,,,,,,,,,,,,,,,
137,Polynomial,3.05E-05,8,37.74834437,,,,,,,,,,,,,,,,,,
138,Polynomial,3.05E-05,32,39.07284768,,,,,,,,,,,,,,,,,,
139,Polynomial,3.05E-05,128,39.07284768,,,,,,,,,,,,,,,,,,
140,Polynomial,3.05E-05,512,36.42384106,,,,,,,,,,,,,,,,,,
141,Polynomial,3.05E-05,2048,40.39735099,,,,,,,,,,,,,,,,,,
142,Polynomial,3.05E-05,8192,41.05960265,,,,,,,,,,,,,,,,,,
143,Polynomial,3.05E-05,32768,36.42384106,,,,,,,,,,,,,,,,,,
144,Polynomial,0.00012207,0.03125,32.45033113,,,,,,,,,,,,,,,,,,
145,Polynomial,0.00012207,0.125,37.74834437,,,,,,,,,,,,,,,,,,
146,Polynomial,0.00012207,0.5,37.08609272,,,,,,,,,,,,,,,,,,
147,Polynomial,0.00012207,1,35.7615894,,,,,,,,,,,,,,,,,,
148,Polynomial,0.00012207,2,37.74834437,,,,,,,,,,,,,,,,,,
149,Polynomial,0.00012207,8,35.7615894,,,,,,,,,,,,,,,,,,
150,Polynomial,0.00012207,32,36.42384106,,,,,,,,,,,,,,,,,,
151,Polynomial,0.00012207,128,37.74834437,,,,,,,,,,,,,,,,,,
152,Polynomial,0.00012207,512,33.77483444,,,,,,,,,,,,,,,,,,
153,Polynomial,0.00012207,2048,36.42384106,,,,,,,,,,,,,,,,,,
154,Polynomial,0.00012207,8192,35.7615894,,,,,,,,,,,,,,,,,,
155,Polynomial,0.00012207,32768,39.07284768,,,,,,,,,,,,,,,,,,
156,Polynomial,0.000488281,0.03125,37.74834437,,,,,,,,,,,,,,,,,,
157,Polynomial,0.000488281,0.125,35.7615894,,,,,,,,,,,,,,,,,,
158,Polynomial,0.000488281,0.5,40.39735099,,,,,,,,,,,,,,,,,,
159,Polynomial,0.000488281,1,36.42384106,,,,,,,,,,,,,,,,,,
160,Polynomial,0.000488281,2,39.07284768,,,,,,,,,,,,,,,,,,
161,Polynomial,0.000488281,8,34.43708609,,,,,,,,,,,,,,,,,,
162,Polynomial,0.000488281,32,35.7615894,,,,,,,,,,,,,,,,,,
163,Polynomial,0.000488281,128,38.41059603,,,,,,,,,,,,,,,,,,
164,Polynomial,0.000488281,512,37.08609272,,,,,,,,,,,,,,,,,,
165,Polynomial,0.000488281,2048,34.43708609,,,,,,,,,,,,,,,,,,
166,Polynomial,0.000488281,8192,38.41059603,,,,,,,,,,,,,,,,,,
167,Polynomial,0.000488281,32768,39.07284768,,,,,,,,,,,,,,,,,,
168,Polynomial,0.001953125,0.03125,37.74834437,,,,,,,,,,,,,,,,,,
169,Polynomial,0.001953125,0.125,37.08609272,,,,,,,,,,,,,,,,,,
170,Polynomial,0.001953125,0.5,37.08609272,,,,,,,,,,,,,,,,,,
171,Polynomial,0.001953125,1,39.07284768,,,,,,,,,,,,,,,,,,
172,Polynomial,0.001953125,2,37.08609272,,,,,,,,,,,,,,,,,,
