,Kernel,Gamma,Cost,Accuracy,,,,,,,,,,,,,,,,,,
360,RBF,1,0.03125,27.15231788,,,,,,,,,,,,,,,,,,
361,RBF,1,0.125,27.15231788,,,,,,,,,,,,,,,,,,
362,RBF,1,0.5,27.81456954,,,,,,,,,,,,,,,,,,
363,RBF,1,1,29.8013245,,,,,,,,,,,,,,,,,,
364,RBF,1,2,29.8013245,,,,,,,,,,,,,,,,,,
365,RBF,1,8,29.8013245,,,,,,,,,,,,,,,,,,
366,RBF,1,32,29.8013245,,,,,,,,,,,,,,,,,,
367,RBF,1,128,29.8013245,,,,,,,,,,,,,,,,,,
368,RBF,1,512,29.8013245,,,,,,,,,,,,,,,,,,
369,RBF,1,2048,29.8013245,,,,,,,,,,,,,,,,,,
370,RBF,1,8192,29.8013245,,,,,,,,,,,,,,,,,,
371,RBF,1,32768,29.8013245,,,,,,,,,,,,,,,,,,
372,RBF,2,0.03125,27.15231788,,,,,,,,,,,,,,,,,,
373,RBF,2,0.125,27.81456954,,,,,,,,,,,,,,,,,,
374,RBF,2,0.5,27.81456954,,,,,,,,,,,,,,,,,,
375,RBF,2,1,29.8013245,,,,,,,,,,,,,,,,,,
376,RBF,2,2,29.8013245,,,,,,,,,,,,,,,,,,
377,RBF,2,8,29.8013245,,,,,,,,,,,,,,,,,,
378,RBF,2,32,29.8013245,,,,,,,,,,,,,,,,,,
379,RBF,2,128,29.8013245,,,,,,,,,,,,,,,,,,
380,RBF,2,512,29.8013245,,,,,,,,,,,,,,,,,,
381,RBF,2,2048,29.8013245,,,,,,,,,,,,,,,,,,
382,RBF,2,8192,29.8013245,,,,,,,,,,,,,,,,,,
383,RBF,2,32768,29.8013245,,,,,,,,,,,,,,,,,,
384,RBF,8,0.03125,27.15231788,,,,,,,,,,,,,,,,,,
385,RBF,8,0.125,28.47682119,,,,,,,,,,,,,,,,,,
386,RBF,8,0.5,27.15231788,,,,,,,,,,,,,,,,,,
387,RBF,8,1,29.8013245,,,,,,,,,,,,,,,,,,
388,RBF,8,2,29.8013245,,,,,,,,,,,,,,,,,,
389,RBF,8,8,29.8013245,,,,,,,,,,,,,,,,,,
390,RBF,8,32,29.8013245,,,,,,,,,,,,,,,,,,
391,RBF,8,128,29.8013245,,,,,,,,,,,,,,,,,,
392,RBF,8,512,29.8013245,,,,,,,,,,,,,,,,,,
393,RBF,8,2048,29.8013245,,,,,,,,,,,,,,,,,,
394,RBF,8,8192,29.8013245,,,,,,,,,,,,,,,,,,
395,RBF,8,32768,29.8013245,,,,,,,,,,,,,,,,,,
